target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
1,92,1,1,62,61,62,0.774700,0.787400,,4.6886932068446185e-05,1,0
1,92,1,1,63,62,63,0.787400,0.800100,3.9679189285379834e-05,3.9679189285379834e-05,0,303
1,92,1,1,64,63,64,0.800100,0.812800,,3.4350898658885853e-05,1,0
1,92,1,1,65,64,65,0.812800,0.825500,2.9022608032391872e-05,2.9022608032391872e-05,0,303
1,92,1,1,66,65,66,0.825500,0.838200,2.1174624635023065e-05,2.1174624635023065e-05,0,303
1,92,1,1,67,66,67,0.838200,0.850900,,1.829499547056912e-05,1,0
1,92,1,1,68,67,68,0.850900,0.863600,1.5415366306115175e-05,1.5415366306115175e-05,0,303
1,92,1,1,69,68,69,0.863600,0.876300,1.1202554560441058e-05,1.1202554560441058e-05,0,303
1,92,1,1,70,69,70,0.876300,0.889000,,9.6662203077357844e-06,1,0
1,92,1,1,71,70,71,0.889000,0.901700,8.1298860550305108e-06,8.1298860550305108e-06,0,303
1,92,1,1,72,71,72,0.901700,0.914400,5.8945099681295687e-06,5.8945099681295687e-06,0,303
1,92,1,1,73,72,73,0.914400,0.927100,,5.0831539510909352e-06,1,0
1,92,1,1,74,73,74,0.927100,0.939800,4.2717979340523016e-06,4.2717979340523016e-06,0,303
1,92,1,1,75,74,75,0.939800,0.952500,3.0959162131694029e-06,3.0959162131694029e-06,0,101
1,92,1,1,76,75,76,0.952500,0.965200,3.0959160994825652e-06,3.0959160994825652e-06,0,202
1,92,1,1,77,76,77,0.965200,0.977900,2.2449673906521639e-06,2.2449673906521639e-06,0,303
1,92,1,1,78,77,78,0.977900,0.990600,,1.9373388795429491e-06,1,0
1,92,1,1,79,78,79,0.990600,1.003300,1.6297103684337344e-06,1.6297103684337344e-06,0,303
1,92,1,1,80,79,80,1.003300,1.016000,1.1850513033095922e-06,1.1850513033095922e-06,0,303
1,92,1,1,81,80,81,1.016000,1.028700,,1.0243584682712026e-06,1,0
1,92,1,1,82,81,82,1.028700,1.041400,8.6366563323281298e-07,8.6366563323281298e-07,0,303
1,92,1,1,83,82,83,1.041400,1.054100,6.3124630855782016e-07,6.3124630855782016e-07,0,303
1,92,1,1,84,83,84,1.054100,1.066800,,5.4711533437057369e-07,1,0
1,92,1,1,85,84,85,1.066800,1.079500,4.6298436018332723e-07,4.6298436018332723e-07,0,303
1,92,1,1,86,85,86,1.079500,1.092200,3.4097526224741159e-07,3.4097526224741159e-07,0,303
1,92,1,1,87,86,87,1.092200,1.104900,,2.9664644429772125e-07,1,0
1,92,1,1,88,87,88,1.104900,1.117600,2.523176263480309e-07,2.523176263480309e-07,0,303
1,92,1,1,89,88,89,1.117600,1.130300,,2.2002138422294593e-07,1,0
1,92,1,1,90,89,90,1.130300,1.143000,1.8772514209786095e-07,1.8772514209786095e-07,0,303
1,92,1,1,91,90,91,1.143000,1.155700,1.4051763486122582e-07,1.4051763486122582e-07,0,303
1,92,1,1,92,91,92,1.155700,1.168400,,1.2320396614029505e-07,1,0
