target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
1,32,0.98561693876716994,1,1,0,1,0.000000,0.025400,0.81113821268081665,0.81113821268081665,0,46206
1,32,0.98561693876716994,1,2,1,2,0.025400,0.050800,,0.74400101900100712,1,0
1,32,0.98561693876716994,1,3,2,3,0.050800,0.076200,,0.67686382532119749,1,0
1,32,0.98561693876716994,1,4,3,4,0.076200,0.101600,,0.60972663164138796,1,0
1,32,0.98561693876716994,1,5,4,5,0.101600,0.127000,,0.54258943796157832,1,0
1,32,0.98561693876716994,1,6,5,6,0.127000,0.152400,0.4754522442817688,0.4754522442817688,0,51
1,32,0.98561693876716994,1,7,6,7,0.152400,0.177800,0.45085204641024273,0.45085204641024273,0,527
1,32,0.98561693876716994,1,8,7,8,0.177800,0.203200,0.3834698001543681,0.3834698001543681,0,1547
1,32,0.98561693876716994,1,9,8,9,0.203200,0.228600,0.33449317142367363,0.33449317142367363,0,4879
1,32,0.98561693876716994,1,10,9,10,0.228600,0.254000,0.28256252221763134,0.28256252221763134,0,7956
1,32,0.98561693876716994,1,11,10,11,0.254000,0.279400,0.23042878694832325,0.23042878694832325,0,6239
1,32,0.98561693876716994,1,12,11,12,0.279400,0.304800,0.19313268661499022,0.19313268661499022,0,8585
1,32,0.98561693876716994,1,13,12,13,0.304800,0.330200,0.17464988119900227,0.17464988119900227,0,9265
1,32,0.98561693876716994,1,14,13,14,0.330200,0.355600,0.15260616242885588,0.15260616242885588,0,5304
1,32,0.98561693876716994,1,15,14,15,0.355600,0.381000,0.14496954623609781,0.14496954623609781,0,1632
1,32,0.98561693876716994,1,16,15,16,0.381000,0.406400,0.1148981312289834,0.1148981312289834,0,476
1,32,0.98561693876716994,1,17,16,17,0.406400,0.431800,0.090352467447519305,0.090352467447519305,0,765
