target_time_s,saved_set,saved_time_s,svar_index,bin_index,radial_depth_percent_start,radial_depth_percent_end,radial_depth_mm_start,radial_depth_mm_end,raw_max_value,plotted_max_value,interpolated,nodal_sample_count
1,20,1,1,56,55,56,1.397000,1.422400,3.5722563573870048e-08,3.5722563573870048e-08,0,323
1,20,1,1,57,56,57,1.422400,1.447800,1.0334368027997698e-08,1.0334368027997698e-08,0,357
1,20,1,1,58,57,58,1.447800,1.473200,8.7793165515215321e-09,8.7793165515215321e-09,0,850
1,20,1,1,59,58,59,1.473200,1.498600,2.6364672933709699e-08,2.6364672933709699e-08,0,3094
1,20,1,1,60,59,60,1.498600,1.524000,5.9064256263674508e-09,5.9064256263674508e-09,0,7820
1,20,1,1,61,60,61,1.524000,1.549400,4.9284327174881071e-09,4.9284327174881071e-09,0,6341
1,20,1,1,62,61,62,1.549400,1.574800,4.3130218840836676e-09,4.3130218840836676e-09,0,4947
1,20,1,1,63,62,63,1.574800,1.600200,3.7212468662062292e-09,3.7212468662062292e-09,0,6528
1,20,1,1,64,63,64,1.600200,1.625600,3.3342282546033886e-09,3.3342282546033886e-09,0,8381
1,20,1,1,65,64,65,1.625600,1.651000,3.0215005775158232e-09,3.0215005775158232e-09,0,51
1,20,1,1,66,65,66,1.651000,1.676400,2.804522752919425e-09,2.804522752919425e-09,0,153
1,20,1,1,67,66,67,1.676400,1.701800,2.4818581634278303e-09,2.4818581634278303e-09,0,51
1,20,1,1,68,67,68,1.701800,1.727200,2.3204695942524722e-09,2.3204695942524722e-09,0,136
1,20,1,1,69,68,69,1.727200,1.752600,2.2482057882022843e-09,2.2482057882022843e-09,0,187
1,20,1,1,70,69,70,1.752600,1.778000,2.1658073556807265e-09,2.1658073556807265e-09,0,170
1,20,1,1,71,70,71,1.778000,1.803400,2.5309219164881824e-09,2.5309219164881824e-09,0,1394
1,20,1,1,72,71,72,1.803400,1.828800,2.0062441485890759e-09,2.0062441485890759e-09,0,4624
1,20,1,1,73,72,73,1.828800,1.854200,1.9209400181630087e-09,1.9209400181630087e-09,0,8840
1,20,1,1,74,73,74,1.854200,1.879600,1.8757639608235621e-09,1.8757639608235621e-09,0,5933
1,20,1,1,75,74,75,1.879600,1.905000,1.8285541525386861e-09,1.8285541525386861e-09,0,7259
1,20,1,1,76,75,76,1.905000,1.930400,1.7895245840726659e-09,1.7895245840726659e-09,0,9214
1,20,1,1,77,76,77,1.930400,1.955800,1.7271773178340055e-09,1.7271773178340055e-09,0,17
1,20,1,1,78,77,78,1.955800,1.981200,,1.7036914212731346e-09,1,0
1,20,1,1,79,78,79,1.981200,2.006600,,1.6802055247122639e-09,1,0
1,20,1,1,80,79,80,2.006600,2.032000,1.656719628151393e-09,1.656719628151393e-09,0,102
1,20,1,1,81,80,81,2.032000,2.057400,1.6453160500695674e-09,1.6453160500695674e-09,0,119
1,20,1,1,82,81,82,2.057400,2.082800,1.630613344349996e-09,1.630613344349996e-09,0,68
1,20,1,1,83,82,83,2.082800,2.108200,1.6695295812496624e-09,1.6695295812496624e-09,0,17
1,20,1,1,84,83,84,2.108200,2.133600,1.6543516778710909e-09,1.6543516778710909e-09,0,272
1,20,1,1,85,84,85,2.133600,2.159000,1.5964400912338306e-09,1.5964400912338306e-09,0,595
1,20,1,1,86,85,86,2.159000,2.184400,1.5872957948026567e-09,1.5872957948026567e-09,0,8636
1,20,1,1,87,86,87,2.184400,2.209800,1.5787668117273057e-09,1.5787668117273057e-09,0,15708
1,20,1,1,88,87,88,2.209800,2.235200,1.5719129609070848e-09,1.5719129609070848e-09,0,11900
1,20,1,1,89,88,89,2.235200,2.260600,1.5638549621943554e-09,1.5638549621943554e-09,0,34
1,20,1,1,90,89,90,2.260600,2.286000,,1.5609905464190762e-09,1,0
1,20,1,1,91,90,91,2.286000,2.311400,,1.5581261306437969e-09,1,0
1,20,1,1,92,91,92,2.311400,2.336800,,1.5552617148685175e-09,1,0
1,20,1,1,93,92,93,2.336800,2.362200,,1.5523972990932383e-09,1,0
1,20,1,1,94,93,94,2.362200,2.387600,,1.5495328833179591e-09,1,0
1,20,1,1,95,94,95,2.387600,2.413000,,1.5466684675426799e-09,1,0
1,20,1,1,96,95,96,2.413000,2.438400,,1.5438040517674007e-09,1,0
1,20,1,1,97,96,97,2.438400,2.463800,,1.5409396359921214e-09,1,0
1,20,1,1,98,97,98,2.463800,2.489200,,1.538075220216842e-09,1,0
1,20,1,1,99,98,99,2.489200,2.514600,,1.5352108044415628e-09,1,0
1,20,1,1,100,99,100,2.514600,2.540000,1.5323463886662836e-09,1.5323463886662836e-09,0,37451
2,40,2,1,1,0,1,0.000000,0.025400,0.97748005390167236,0.97748005390167236,0,46206
2,40,2,1,2,1,2,0.025400,0.050800,,0.95301502744356792,1,0
2,40,2,1,3,2,3,0.050800,0.076200,,0.92855000098546348,1,0
2,40,2,1,4,3,4,0.076200,0.101600,,0.90408497452735903,1,0
2,40,2,1,5,4,5,0.101600,0.127000,,0.87961994806925459,1,0
2,40,2,1,6,5,6,0.127000,0.152400,0.85515492161115014,0.85515492161115014,0,51
2,40,2,1,7,6,7,0.152400,0.177800,0.84067028760910034,0.84067028760910034,0,527
2,40,2,1,8,7,8,0.177800,0.203200,0.79542692502339685,0.79542692502339685,0,1547
2,40,2,1,9,8,9,0.203200,0.228600,0.75498712807893753,0.75498712807893753,0,4879
2,40,2,1,10,9,10,0.228600,0.254000,0.70644786953926086,0.70644786953926086,0,7956
2,40,2,1,11,10,11,0.254000,0.279400,0.6482667475938797,0.6482667475938797,0,6239
2,40,2,1,12,11,12,0.279400,0.304800,0.59314921498298645,0.59314921498298645,0,8585
2,40,2,1,13,12,13,0.304800,0.330200,0.54410217702388763,0.54410217702388763,0,9265
2,40,2,1,14,13,14,0.330200,0.355600,0.5213911652565002,0.5213911652565002,0,5304
2,40,2,1,15,14,15,0.355600,0.381000,0.48237040638923645,0.48237040638923645,0,1632
2,40,2,1,16,15,16,0.381000,0.406400,0.41737860441207886,0.41737860441207886,0,476
2,40,2,1,17,16,17,0.406400,0.431800,0.37191781029105186,0.37191781029105186,0,765
2,40,2,1,18,17,18,0.431800,0.457200,0.34378166794776915,0.34378166794776915,0,1989
2,40,2,1,19,18,19,0.457200,0.482600,0.30277391895651817,0.30277391895651817,0,2176
2,40,2,1,20,19,20,0.482600,0.508000,0.2736074164509773,0.2736074164509773,0,1717
2,40,2,1,21,20,21,0.508000,0.533400,0.24265162646770477,0.24265162646770477,0,2057
2,40,2,1,22,21,22,0.533400,0.558800,0.23269432038068771,0.23269432038068771,0,3009
2,40,2,1,23,22,23,0.558800,0.584200,0.20008535981178283,0.20008535981178283,0,5644
2,40,2,1,24,23,24,0.584200,0.609600,0.1785044141113758,0.1785044141113758,0,6851
2,40,2,1,25,24,25,0.609600,0.635000,0.16960838958621025,0.16960838958621025,0,7752
2,40,2,1,26,25,26,0.635000,0.660400,0.087938409298658371,0.087938409298658371,0,9265
2,40,2,1,27,26,27,0.660400,0.685800,0.075956391791502639,0.075956391791502639,0,2669
2,40,2,1,28,27,28,0.685800,0.711200,0.055792232975363731,0.055792232975363731,0,1632
2,40,2,1,29,28,29,0.711200,0.736600,0.052516537718474865,0.052516537718474865,0,2074
2,40,2,1,30,29,30,0.736600,0.762000,0.044564207084476948,0.044564207084476948,0,1360
2,40,2,1,31,30,31,0.762000,0.787400,0.03240437743564447,0.03240437743564447,0,629
2,40,2,1,32,31,32,0.787400,0.812800,0.028862533718347551,0.028862533718347551,0,408
2,40,2,1,33,32,33,0.812800,0.838200,0.023606336675584316,0.023606336675584316,0,1241
2,40,2,1,34,33,34,0.838200,0.863600,0.018873427622020246,0.018873427622020246,0,2822
2,40,2,1,35,34,35,0.863600,0.889000,0.020477323560044169,0.020477323560044169,0,4981
2,40,2,1,36,35,36,0.889000,0.914400,0.015932405553758144,0.015932405553758144,0,6171
2,40,2,1,37,36,37,0.914400,0.939800,0.01764055248349905,0.01764055248349905,0,6086
2,40,2,1,38,37,38,0.939800,0.965200,0.0038042384199798106,0.0038042384199798106,0,6154
2,40,2,1,39,38,39,0.965200,0.990600,0.0027952758391620591,0.0027952758391620591,0,7973
2,40,2,1,40,39,40,0.990600,1.016000,0.0048583743628114462,0.0048583743628114462,0,3978
2,40,2,1,41,40,41,1.016000,1.041400,0.0023592845536768436,0.0023592845536768436,0,629
2,40,2,1,42,41,42,1.041400,1.066800,0.0026499045779928565,0.0026499045779928565,0,238
2,40,2,1,43,42,43,1.066800,1.092200,0.0013466117767772328,0.0013466117767772328,0,408
2,40,2,1,44,43,44,1.092200,1.117600,0.00071126336115412414,0.00071126336115412414,0,459
2,40,2,1,45,44,45,1.117600,1.143000,0.0018568891609902494,0.0018568891609902494,0,901
2,40,2,1,46,45,46,1.143000,1.168400,0.00042572338279569524,0.00042572338279569524,0,1666
2,40,2,1,47,46,47,1.168400,1.193800,0.00031088837204151787,0.00031088837204151787,0,4335
2,40,2,1,48,47,48,1.193800,1.219200,0.00081703814248612616,0.00081703814248612616,0,7769
2,40,2,1,49,48,49,1.219200,1.244600,0.00016052142382250167,0.00016052142382250167,0,5304
2,40,2,1,50,49,50,1.244600,1.270000,0.00043183878951822405,0.00043183878951822405,0,4913
2,40,2,1,51,50,51,1.270000,1.295400,8.5206203948473558e-05,8.5206203948473558e-05,0,7446
2,40,2,1,52,51,52,1.295400,1.320800,6.4387639667984331e-05,6.4387639667984331e-05,0,6664
2,40,2,1,53,52,53,1.320800,1.346200,5.1776388681901152e-05,5.1776388681901152e-05,0,187
2,40,2,1,54,53,54,1.346200,1.371600,3.206344808859285e-05,3.206344808859285e-05,0,340
2,40,2,1,55,54,55,1.371600,1.397000,2.2810647260484983e-05,2.2810647260484983e-05,0,408
2,40,2,1,56,55,56,1.397000,1.422400,4.7153013838396873e-05,4.7153013838396873e-05,0,323
2,40,2,1,57,56,57,1.422400,1.447800,1.2354686987237073e-05,1.2354686987237073e-05,0,357
2,40,2,1,58,57,58,1.447800,1.473200,9.7557542062531866e-06,9.7557542062531866e-06,0,850
2,40,2,1,59,58,59,1.473200,1.498600,3.2309763537341499e-05,3.2309763537341499e-05,0,3094
2,40,2,1,60,59,60,1.498600,1.524000,5.1078482670163794e-06,5.1078482670163794e-06,0,7820
2,40,2,1,61,60,61,1.524000,1.549400,3.5949571923765689e-06,3.5949571923765689e-06,0,6341
2,40,2,1,62,61,62,1.549400,1.574800,2.6995051030098693e-06,2.6995051030098693e-06,0,4947
2,40,2,1,63,62,63,1.574800,1.600200,1.8689777618874359e-06,1.8689777618874359e-06,0,6528
2,40,2,1,64,63,64,1.600200,1.625600,1.3795359166124399e-06,1.3795359166124399e-06,0,8381
2,40,2,1,65,64,65,1.625600,1.651000,1.001032671865687e-06,1.001032671865687e-06,0,51
2,40,2,1,66,65,66,1.651000,1.676400,7.7051390334759162e-07,7.7051390334759162e-07,0,153
2,40,2,1,67,66,67,1.676400,1.701800,4.7180529705315166e-07,4.7180529705315166e-07,0,51
2,40,2,1,68,67,68,1.701800,1.727200,3.5452917046541188e-07,3.5452917046541188e-07,0,136
2,40,2,1,69,68,69,1.727200,1.752600,2.9609061868995923e-07,2.9609061868995923e-07,0,187
2,40,2,1,70,69,70,1.752600,1.778000,2.4934179592150941e-07,2.4934179592150941e-07,0,170
2,40,2,1,71,70,71,1.778000,1.803400,6.8472673397934614e-07,6.8472673397934614e-07,0,1394
2,40,2,1,72,71,72,1.803400,1.828800,1.5065992755580738e-07,1.5065992755580738e-07,0,4624
2,40,2,1,73,72,73,1.828800,1.854200,1.0580243436919545e-07,1.0580243436919545e-07,0,8840
2,40,2,1,74,73,74,1.854200,1.879600,8.5184038667307507e-08,8.5184038667307507e-08,0,5933
2,40,2,1,75,74,75,1.879600,1.905000,7.0229109283559405e-08,7.0229109283559405e-08,0,7259
2,40,2,1,76,75,76,1.905000,1.930400,5.4597680332335588e-08,5.4597680332335588e-08,0,9214
2,40,2,1,77,76,77,1.930400,1.955800,3.5712118817698979e-08,3.5712118817698979e-08,0,17
2,40,2,1,78,77,78,1.955800,1.981200,,3.0680211793310265e-08,1,0
2,40,2,1,79,78,79,1.981200,2.006600,,2.5648304768921551e-08,1,0
2,40,2,1,80,79,80,2.006600,2.032000,2.0616397744532833e-08,2.0616397744532833e-08,0,102
2,40,2,1,81,80,81,2.032000,2.057400,1.8731532414051345e-08,1.8731532414051345e-08,0,119
2,40,2,1,82,81,82,2.057400,2.082800,1.6000157287976437e-08,1.6000157287976437e-08,0,68
2,40,2,1,83,82,83,2.082800,2.108200,2.9446124649723515e-08,2.9446124649723515e-08,0,17
2,40,2,1,84,83,84,2.108200,2.133600,2.5039784645741747e-08,2.5039784645741747e-08,0,272
2,40,2,1,85,84,85,2.133600,2.159000,1.0882801992906366e-08,1.0882801992906366e-08,0,595
2,40,2,1,86,85,86,2.159000,2.184400,9.684124391284854e-09,9.684124391284854e-09,0,8636
2,40,2,1,87,86,87,2.184400,2.209800,8.7285361161093533e-09,8.7285361161093533e-09,0,15708
2,40,2,1,88,87,88,2.209800,2.235200,7.8770466260813521e-09,7.8770466260813521e-09,0,11900
